"SiteName","Lon","Lat","Vs30","z1"
"SoCalLA Site-1",-118.59,34.087,465.903165283203,-999
"SoCalLA Site-2",-118.59,34.157,376.302676391601,-999
"SoCalLA Site-3",-118.59,34.227,318.428806152344,-999
"SoCalLA Site-4",-118.59,34.297,525.834669189453,-999
"SoCalLA Site-5",-118.59,34.367,449.548180541992,-999
"SoCalLA Site-6",-118.59,34.437,325.011275634766,-999
"SoCalLA Site-7",-118.52,34.087,623.891849975586,-999
"SoCalLA Site-8",-118.52,34.157,355.975039978027,-999
"SoCalLA Site-9",-118.52,34.227,307.036921386719,-999
"SoCalLA Site-10",-118.52,34.297,520.304232177734,-999
"SoCalLA Site-11",-118.52,34.367,486.403507080078,-999
"SoCalLA Site-12",-118.52,34.437,370.45418182373,-999
"SoCalLA Site-13",-118.45,34.017,448.386809997559,-999
"SoCalLA Site-14",-118.45,34.087,585.985808105469,-999
"SoCalLA Site-15",-118.45,34.157,290.602685546875,-999
"SoCalLA Site-16",-118.45,34.227,305.518197021484,-999
"SoCalLA Site-17",-118.45,34.297,372.29836517334,-999
"SoCalLA Site-18",-118.45,34.367,775.93338684082,-999
"SoCalLA Site-19",-118.45,34.437,502.478255615234,-999
"SoCalLA Site-20",-118.38,33.737,600,-999
"SoCalLA Site-21",-118.38,33.807,475.423117980957,-999
"SoCalLA Site-22",-118.38,33.877,422.749974365234,-999
"SoCalLA Site-23",-118.38,33.947,412.915942687988,-999
"SoCalLA Site-24",-118.38,34.017,485.156950683594,-999
"SoCalLA Site-25",-118.38,34.087,368.468564147949,-999
"SoCalLA Site-26",-118.38,34.157,292.567689208984,-999
"SoCalLA Site-27",-118.38,34.227,307.552392578125,-999
"SoCalLA Site-28",-118.38,34.297,497.55740234375,-999
"SoCalLA Site-29",-118.38,34.367,901.502738037109,-999
"SoCalLA Site-30",-118.38,34.437,472.777669372559,-999
"SoCalLA Site-31",-118.31,33.737,410.630452270508,-999
"SoCalLA Site-32",-118.31,33.807,409.73256439209,-999
"SoCalLA Site-33",-118.31,33.877,403.162904968262,-999
"SoCalLA Site-34",-118.31,33.947,418.28613861084,-999
"SoCalLA Site-35",-118.31,34.017,304.969049072266,-999
"SoCalLA Site-36",-118.31,34.087,420.742769470215,-999
"SoCalLA Site-37",-118.31,34.157,360.954003601074,-999
"SoCalLA Site-38",-118.31,34.227,675.872450561523,-999
