"IM_type","IM_level","SiteName","AnnualExceedanceRate"
"PGA","0.057","SoCalLA Site-1",0.0813930263
"PGA","0.057","SoCalLA Site-2",0.0957179474
"PGA","0.057","SoCalLA Site-3",0.106528092
"PGA","0.057","SoCalLA Site-4",0.0840738289
"PGA","0.057","SoCalLA Site-5",0.0890697718
"PGA","0.057","SoCalLA Site-6",0.0996788504
"PGA","0.057","SoCalLA Site-7",0.0694125832
"PGA","0.057","SoCalLA Site-8",0.09999222
"PGA","0.057","SoCalLA Site-9",0.109719318
"PGA","0.057","SoCalLA Site-10",0.085361092
"PGA","0.057","SoCalLA Site-11",0.0861141446
"PGA","0.057","SoCalLA Site-12",0.0937330922
"PGA","0.057","SoCalLA Site-13",0.0815010094
"PGA","0.057","SoCalLA Site-14",0.072753516
"PGA","0.057","SoCalLA Site-15",0.110705567
"PGA","0.057","SoCalLA Site-16",0.110079436
"PGA","0.057","SoCalLA Site-17",0.100040691
"PGA","0.057","SoCalLA Site-18",0.0653480976
"PGA","0.057","SoCalLA Site-19",0.0785650292
"PGA","0.057","SoCalLA Site-20",0.0516925553
"PGA","0.057","SoCalLA Site-21",0.0660870455
"PGA","0.057","SoCalLA Site-22",0.0762998519
"PGA","0.057","SoCalLA Site-23",0.0819993208
"PGA","0.057","SoCalLA Site-24",0.0780833442
"PGA","0.057","SoCalLA Site-25",0.0954693247
"PGA","0.057","SoCalLA Site-26",0.110097614
"PGA","0.057","SoCalLA Site-27",0.108778013
"PGA","0.057","SoCalLA Site-28",0.0843496436
"PGA","0.057","SoCalLA Site-29",0.0567392464
"PGA","0.057","SoCalLA Site-30",0.0790863887
"PGA","0.057","SoCalLA Site-31",0.0692835482
"PGA","0.057","SoCalLA Site-32",0.0742096776
"PGA","0.057","SoCalLA Site-33",0.079591846
"PGA","0.057","SoCalLA Site-34",0.0819091687
"PGA","0.057","SoCalLA Site-35",0.102311958
"PGA","0.057","SoCalLA Site-36",0.0880052568
"PGA","0.057","SoCalLA Site-37",0.0979529879
"PGA","0.057","SoCalLA Site-38",0.0680236884
"PGA","0.057","SoCalLA Site-39",0.0652694949
"PGA","0.057","SoCalLA Site-40",0.0623445907
"PGA","0.057","SoCalLA Site-41",0.0582552889
"PGA","0.057","SoCalLA Site-42",0.0621620313
"PGA","0.057","SoCalLA Site-43",0.075249479
"PGA","0.057","SoCalLA Site-44",0.0781270123
"PGA","0.057","SoCalLA Site-45",0.111663762
"PGA","0.057","SoCalLA Site-46",0.111012769
"PGA","0.057","SoCalLA Site-47",0.0844374482
"PGA","0.057","SoCalLA Site-48",0.0847202265
"PGA","0.057","SoCalLA Site-49",0.0898248307
"PGA","0.057","SoCalLA Site-50",0.0739108959
"PGA","0.057","SoCalLA Site-51",0.0647172318
"PGA","0.057","SoCalLA Site-52",0.0860715844
"PGA","0.057","SoCalLA Site-53",0.0768858909
"PGA","0.057","SoCalLA Site-54",0.108877082
"PGA","0.057","SoCalLA Site-55",0.102701662
"PGA","0.057","SoCalLA Site-56",0.0862530175
"PGA","0.057","SoCalLA Site-57",0.0956915696
"PGA","0.057","SoCalLA Site-58",0.0915201364
"PGA","0.057","SoCalLA Site-59",0.0651123942
"PGA","0.057","SoCalLA Site-60",0.0676219458
"PGA","0.057","SoCalLA Site-61",0.0623328663
"PGA","0.057","SoCalLA Site-62",0.0594716195
"PGA","0.057","SoCalLA Site-63",0.105430904
"PGA","0.057","SoCalLA Site-64",0.10828465
"PGA","0.057","SoCalLA Site-65",0.102816838
"PGA","0.057","SoCalLA Site-66",0.082889886
"PGA","0.057","SoCalLA Site-67",0.0854749389
"PGA","0.057","SoCalLA Site-68",0.0825911033
"PGA","0.057","SoCalLA Site-69",0.0667497024
"PGA","0.057","SoCalLA Site-70",0.0668256035
"PGA","0.057","SoCalLA Site-71",0.0666113857
"PGA","0.057","SoCalLA Site-72",0.0603827075
"PGA","0.057","SoCalLA Site-73",0.101994693
"PGA","0.057","SoCalLA Site-74",0.106299015
"PGA","0.057","SoCalLA Site-75",0.109346327
"PGA","0.057","SoCalLA Site-76",0.103061975
"PGA","0.057","SoCalLA Site-77",0.0668928974
"PGA","0.057","SoCalLA Site-78",0.104262078
"PGA","0.057","SoCalLA Site-79",0.0907149011
"PGA","0.057","SoCalLA Site-80",0.0680110198
"PGA","0.057","SoCalLA Site-81",0.0624233194
"PGA","0.057","SoCalLA Site-82",0.0602550313
"PGA","0.057","SoCalLA Site-83",0.05758013
"PGA","0.057","SoCalLA Site-84",0.0947533306
"PGA","0.057","SoCalLA Site-85",0.0949742837
"PGA","0.057","SoCalLA Site-86",0.107559489
"PGA","0.057","SoCalLA Site-87",0.0808464721
"PGA","0.057","SoCalLA Site-88",0.0796496591
"PGA","0.057","SoCalLA Site-89",0.105702841
"PGA","0.057","SoCalLA Site-90",0.103920364
"PGA","0.057","SoCalLA Site-91",0.0756976096
"PGA","0.057","SoCalLA Site-92",0.060439135
"PGA","0.057","SoCalLA Site-93",0.0584488446
"PGA","0.057","SoCalLA Site-94",0.0555026797
"PGA","0.057","SoCalLA Site-95",0.0502230206
"PGA","0.057","SoCalLA Site-96",0.0738026106
"PGA","0.057","SoCalLA Site-97",0.0946067135
"PGA","0.057","SoCalLA Site-98",0.107534334
"PGA","0.057","SoCalLA Site-99",0.100030896
"PGA","0.057","SoCalLA Site-100",0.0906777631
"PGA","0.057","SoCalLA Site-101",0.092243974
"PGA","0.057","SoCalLA Site-102",0.10561782
"PGA","0.057","SoCalLA Site-103",0.0617529912
"PGA","0.057","SoCalLA Site-104",0.059962373
"PGA","0.057","SoCalLA Site-105",0.0571603899
"PGA","0.057","SoCalLA Site-106",0.0512367724
"PGA","0.057","SoCalLA Site-107",0.0758781142
"PGA","0.057","SoCalLA Site-108",0.063162985
"PGA","0.057","SoCalLA Site-109",0.0914516393
"PGA","0.057","SoCalLA Site-110",0.0957652378
"PGA","0.057","SoCalLA Site-111",0.082126059
"PGA","0.057","SoCalLA Site-112",0.0821286488
"PGA","0.057","SoCalLA Site-113",0.0878106984
"PGA","0.057","SoCalLA Site-114",0.0910000436
"PGA","0.057","SoCalLA Site-115",0.0807073928
"PGA","0.057","SoCalLA Site-116",0.0642567081
"PGA","0.057","SoCalLA Site-117",0.0608603614
"PGA","0.057","SoCalLA Site-118",0.058376882
"PGA","0.057","SoCalLA Site-119",0.0533674494
"PGA","0.057","SoCalLA Site-120",0.0746847306
"PGA","0.057","SoCalLA Site-121",0.0573123949
"PGA","0.057","SoCalLA Site-122",0.065370517
"PGA","0.057","SoCalLA Site-123",0.0910394405
"PGA","0.057","SoCalLA Site-124",0.0828452015
"PGA","0.057","SoCalLA Site-125",0.0768648769
"PGA","0.057","SoCalLA Site-126",0.0829623702
"PGA","0.057","SoCalLA Site-127",0.0883130651
"PGA","0.057","SoCalLA Site-128",0.0951080954
"PGA","0.057","SoCalLA Site-129",0.100457641
"PGA","0.057","SoCalLA Site-130",0.0645903245
"PGA","0.057","SoCalLA Site-131",0.0638261781
"PGA","0.057","SoCalLA Site-132",0.0609770999
"PGA","0.057","SoCalLA Site-133",0.0612341047
"PGA","0.057","SoCalLA Site-134",0.0723715695
"PGA","0.057","SoCalLA Site-135",0.0639663009
"PGA","0.057","SoCalLA Site-136",0.0672985038
"PGA","0.057","SoCalLA Site-137",0.0696086124
"PGA","0.057","SoCalLA Site-138",0.0737546469
"PGA","0.057","SoCalLA Site-139",0.0711301204
"PGA","0.057","SoCalLA Site-140",0.0911560448
"PGA","0.057","SoCalLA Site-141",0.0986512481
"PGA","0.057","SoCalLA Site-142",0.111894632
"PGA","0.057","SoCalLA Site-143",0.10128342
